api_id,api_name,function_name,template_kind,category,sub_category,url,enabled
usa20200,관심종목 그룹 리스트 조회,usa20200,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa20201,관심종목 그룹 상세 조회,usa20201,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa20510,미국주식 기간별 등락률상위,usa20510,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20511,미국주식 기간별 등락률상위,usa20511,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20520,미국주식 거래량급등락,usa20520,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa20530,미국주식 당일 거래량 상위,usa20530,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20540,미국주식 당일 거래대금 상위,usa20540,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20550,미국주식 시가총액상위,usa20550,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20570,미국주식 가격대별주가,usa20570,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa20580,미국주식 업종현재가,usa20580,rest,해외주식,업종,/api/us/sect,Y
usa20581,미국주식 업종현재가,usa20581,rest,해외주식,업종,/api/us/sect,Y
usa20590,미국주식 일별주가,usa20590,rest,해외주식,시세,/api/us/mrkcond,Y
usa20880,키움 거래 상위 종목(주식/ETF),usa20880,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20910,미국주식 전일대비 등락률상위,usa20910,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20920,미국주식 시가대비 등락률상위,usa20920,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20921,미국주식 시가대비 등락률상위,usa20921,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20930,미국주식 가격급등락,usa20930,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa20931,미국주식 가격급등락,usa20931,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa20940,미국주식 누적 등락률 상위,usa20940,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20960,미국주식 전일 거래상위(거래량/거래대금),usa20960,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa20970,미국주식 고가/저가 접근,usa20970,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa20971,미국주식 고가/저가 접근,usa20971,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa20980,미국주식 PER/PBR 순위,usa20980,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa21500,미국주식 실시간 잔고,usa21500,rest,해외주식,계좌,/api/us/acnt,Y
usa21520,미국주식 실시간 미체결,usa21520,rest,해외주식,계좌,/api/us/acnt,Y
usa21670,일별계좌수익률현황,usa21670,rest,해외주식,계좌,/api/us/acnt,Y
usa21680,월별계좌수익률현황,usa21680,rest,해외주식,계좌,/api/us/acnt,Y
usa21690,연도별계좌수수익률현황,usa21690,rest,해외주식,계좌,/api/us/acnt,Y
usa21730,일별종목수익률현황,usa21730,rest,해외주식,계좌,/api/us/acnt,Y
usa21731,월별종목수익률현황,usa21731,rest,해외주식,계좌,/api/us/acnt,Y
usa21732,연도별종목수익률현황,usa21732,rest,해외주식,계좌,/api/us/acnt,Y
usa23000,미국주식 업종종합,usa23000,rest,해외주식,업종,/api/us/sect,Y
usa23001,미국주식 업종종합,usa23001,rest,해외주식,업종,/api/us/sect,Y
usa23100,미국주식 업종별주가,usa23100,rest,해외주식,업종,/api/us/sect,Y
usa23400,미국주식 거래량갱신,usa23400,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa23401,미국주식 거래량갱신,usa23401,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa24100,미국주식 신고가/신저가,usa24100,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa24110,미국주식 최고최저가대비 상승하,usa24110,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa24120,미국주식 특정일자 상승/하락,usa24120,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa24140,미국주식 갭상승/갭하락,usa24140,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa24150,미국주식 회전율 상위,usa24150,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa24160,미국주식 연속상승/하락 순위,usa24160,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa24161,미국주식 연속상승/하락 순위,usa24161,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa24200,미국주식 호가잔량상위,usa24200,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa24210,미국주식 잔량률급증,usa24210,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa24220,미국주식 매물대집중,usa24220,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa24260,미국주식 주요종목,usa24260,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa24290,미국주식 주간거래 괴리율 상위,usa24290,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa24300,미국주식 리서치(미국주식/ETF),usa24300,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26330,미국주식 평가변동,usa26330,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26410,미국주식 연도별 등락률,usa26410,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa26411,미국주식 연도별 등락률,usa26411,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa26412,미국주식 연도별 등락률,usa26412,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa26500,미국주식 배당주 검색,usa26500,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26501,미국주식 배당주 검색,usa26501,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26510,미국주식 배당주 순위,usa26510,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26511,미국주식 배당주 순위,usa26511,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26520,미국주식 BEST 배당주,usa26520,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26530,미국주식 종목별 배당,usa26530,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26531,미국주식 종목별 배당,usa26531,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26532,미국주식 종목별 배당,usa26532,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26533,미국주식 종목별 배당,usa26533,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26534,미국주식 종목별 배당,usa26534,rest,해외주식,투자정보,/api/us/invtinfo,Y
usa26760,미국주식 종목별 공매도 추이,usa26760,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa26770,미국주식 종목별 미상환 잔고,usa26770,rest,해외주식,종목정보,/api/us/stkinfo,Y
ust20000,미국주식 매수 주문,ust20000,rest,해외주식,주문,/api/us/ordr,Y
ust20001,미국주식 매도 주문,ust20001,rest,해외주식,주문,/api/us/ordr,Y
ust20002,미국주식 정정 주문,ust20002,rest,해외주식,주문,/api/us/ordr,Y
ust20003,미국주식 취소 주문,ust20003,rest,해외주식,주문,/api/us/ordr,Y
ust21050,미국주식 원장 미체결,ust21050,rest,해외주식,계좌,/api/us/acnt,Y
ust21070,미국주식 원장잔고확인,ust21070,rest,해외주식,계좌,/api/us/acnt,Y
ust21100,미국주식 거래내역,ust21100,rest,해외주식,계좌,/api/us/acnt,Y
ust21110,미국주식 예수금,ust21110,rest,해외주식,계좌,/api/us/acnt,Y
ust21111,해외주식 인출가능금액,ust21111,rest,해외주식,계좌,/api/us/acnt,Y
ust21120,미국주식 원장 잔고현황,ust21120,rest,해외주식,계좌,/api/us/acnt,Y
ust21121,미국주식 원장 잔고현황,ust21121,rest,해외주식,계좌,/api/us/acnt,Y
ust21122,해외증권 계좌 잔고평가현황,ust21122,rest,해외주식,계좌,/api/us/acnt,Y
ust21130,미국주식 특정일 잔고,ust21130,rest,해외주식,계좌,/api/us/acnt,Y
ust21131,미국주식 특정일 잔고,ust21131,rest,해외주식,계좌,/api/us/acnt,Y
ust21132,미국주식 특정일 잔고,ust21132,rest,해외주식,계좌,/api/us/acnt,Y
ust21150,미국주식 일별 주문체결내역,ust21150,rest,해외주식,계좌,/api/us/acnt,Y
ust21160,미국주식 예수금 상세,ust21160,rest,해외주식,계좌,/api/us/acnt,Y
ust21170,미국주식 당일 종목별 실현손익,ust21170,rest,해외주식,계좌,/api/us/acnt,Y
ust21180,미국주식 기간별 주문체결내역,ust21180,rest,해외주식,계좌,/api/us/acnt,Y
ust21200,미국주식 기간별 예약주문,ust21200,rest,해외주식,주문,/api/us/ordr,Y
ust21201,미국주식 예약주문 내역조회,ust21201,rest,해외주식,주문,/api/us/ordr,Y
ust21202,미국주식 예약주문 취소,ust21202,rest,해외주식,주문,/api/us/ordr,Y
ust21203,미국주식 예약주문 정정,ust21203,rest,해외주식,주문,/api/us/ordr,Y
ust21204,미국주식 계좌별 일자별 예약내역 조회,ust21204,rest,해외주식,주문,/api/us/ordr,Y
ust21380,미국주식 권리내역,ust21380,rest,해외주식,계좌,/api/us/acnt,Y
